"ID","Status","additionalInfo"
"td-action-arrays","pass",
"td-action-arrays_forms","pass",
"td-action-arrays_scopes","pass",
"td-action-arrays_security","pass",
"td-action-names","pass",
"td-action-objects","pass",
"td-actions","pass",
"td-actions_existence","pass",
"td-actions_uniqueness","pass",
"td-additional-contexts","pass",
"td-arrays","pass",
"td-arrays_scopes","pass",
"td-arrays_security","pass",
"td-at-type","pass",
"td-context","pass",
"td-context-toplevel","pass",
"td-data-schema","not-impl",
"td-data-schema-arrays","not-impl",
"td-data-schema-arrays_enum","pass",
"td-data-schema-arrays_oneOf","pass",
"td-data-schema-arrays_required","pass",
"td-data-schema_const","pass",
"td-data-schema_description","pass",
"td-data-schema_descriptions","not-impl",
"td-data-schema_enum","pass",
"td-data-schema_items","pass",
"td-data-schema_maxItems","pass",
"td-data-schema_maximum1","pass",
"td-data-schema_maximum2","pass",
"td-data-schema_minItems","pass",
"td-data-schema_minimum1","pass",
"td-data-schema_minimum2","pass",
"td-data-schema_oneOf","pass",
"td-data-schema_properties","pass",
"td-data-schema_readOnly","pass",
"td-data-schema_required","pass",
"td-data-schema_title","pass",
"td-data-schema_titles","pass",
"td-data-schema_type","pass",
"td-data-schema_unit","pass",
"td-data-schema_writeOnly","pass",
"td-event-arrays","not-impl",
"td-event-names","not-impl",
"td-event-objects","pass",
"td-events","pass",
"td-events_existence","pass",
"td-events_uniqueness","pass",
"td-forms-response","pass",
"td-integer-type","pass",
"td-jsonld-keywords","pass",
"td-jsonld-keywords_@context","pass",
"td-jsonld-keywords_@type","pass",
"td-links","pass",
"td-multi-languages","pass",
"td-multi-languages_descriptions","pass",
"td-multi-languages_titles","pass",
"td-number-type","pass",
"td-objects","pass",
"td-objects_securityDefinitions","pass",
"td-objects_version","pass",
"td-op-for-action","pass",
"td-op-for-event","pass",
"td-op-for-property","pass",
"td-op-for-thing","pass",
"td-properties","pass",
"td-properties_existence","pass",
"td-properties_uniqueness","pass",
"td-property-arrays","pass",
"td-property-names","not-impl",
"td-property-names_const","pass",
"td-property-names_description","pass",
"td-property-names_descriptions","pass",
"td-property-names_enum","pass",
"td-property-names_forms","pass",
"td-property-names_items","pass",
"td-property-names_maxItems","pass",
"td-property-names_maximum1","pass",
"td-property-names_maximum2","pass",
"td-property-names_minItems","pass",
"td-property-names_minimum1","pass",
"td-property-names_minimum2","pass",
"td-property-names_observable","pass",
"td-property-names_oneOf","pass",
"td-property-names_properties","pass",
"td-property-names_readOnly","pass",
"td-property-names_required","pass",
"td-property-names_scopes","pass",
"td-property-names_security","pass",
"td-property-names_title","pass",
"td-property-names_titles","pass",
"td-property-names_type","pass",
"td-property-names_unit","pass",
"td-property-names_uriVariables","pass",
"td-property-names_writeOnly","pass",
"td-security-mandatory","pass",
"td-security-overrides","not-impl",
"td-security-overrides_form","not-impl",
"td-security-overrides_interaction","pass",
"td-simple-form","pass",
"td-string-type","pass",
"td-title-description","pass",
"td-title-description_descriptions","pass",
"td-title-description_titles","pass",
"td-unique-identifiers","pass",
"td-uriVariables-dataschema","pass",
"td-uriVariables-names","pass",
"td-version","pass",
"td-version-container","pass",
"td-vocab-actions","pass",
"td-vocab-alg","pass",
"td-vocab-anchor","pass",
"td-vocab-authorization","pass",
"td-vocab-base","pass",
"td-vocab-cancellation","pass",
"td-vocab-const","pass",
"td-vocab-contentType-1","pass",
"td-vocab-contentType-2","pass",
"td-vocab-created","pass",
"td-vocab-data","pass",
"td-vocab-description","pass",
"td-vocab-description:security","not-impl",
"td-vocab-descriptions","pass",
"td-vocab-enum","pass",
"td-vocab-events","not-impl",
"td-vocab-flow","pass",
"td-vocab-format","pass",
"td-vocab-forms-1","pass",
"td-vocab-forms-2","pass",
"td-vocab-href","pass",
"td-vocab-idempotent","pass",
"td-vocab-identity","pass",
"td-vocab-in","pass",
"td-vocab-input","pass",
"td-vocab-instance","pass",
"td-vocab-items","pass",
"td-vocab-lastModified","pass",
"td-vocab-links","pass",
"td-vocab-maxItems","pass",
"td-vocab-maximum-1","pass",
"td-vocab-maximum-2","pass",
"td-vocab-minItems","pass",
"td-vocab-minimum-1","pass",
"td-vocab-minimum-2","pass",
"td-vocab-name-1","pass",
"td-vocab-name-2","pass",
"td-vocab-observable","pass",
"td-vocab-oneOf","pass",
"td-vocab-op","pass",
"td-vocab-output","fail",
"td-vocab-properties-1","pass",
"td-vocab-properties-2","pass",
"td-vocab-proxy","not-impl",
"td-vocab-qop","pass",
"td-vocab-readOnly","pass",
"td-vocab-refresh","pass",
"td-vocab-rel","pass",
"td-vocab-required","pass",
"td-vocab-response","pass",
"td-vocab-safe","pass",
"td-vocab-scheme","pass",
"td-vocab-scopes","pass",
"td-vocab-security-1","pass",
"td-vocab-security-2","pass",
"td-vocab-security-3","not-impl",
"td-vocab-securityDefinitions","pass",
"td-vocab-subprotocol","pass",
"td-vocab-subscription","pass",
"td-vocab-support","pass",
"td-vocab-title","pass",
"td-vocab-titles","pass",
"td-vocab-token","pass",
"td-vocab-type-1","pass",
"td-vocab-type-2","pass",
"td-vocab-unit","pass",
"td-vocab-uriVariables","pass",
"td-vocab-version","pass",
"td-vocab-writeOnly","pass",
"td-vocabulary","pass",